created setup with 216 bodies
plot initial setup plus every 0.00999999977648258 time units
plot next snapshot,	 time step=430,	 t=0.430000020423904,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=440,	 t=0.440000020898879,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=450,	 t=0.450000021373853,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=460,	 t=0.460000021848828,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=470,	 t=0.470000022323802,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=480,	 t=0.480000022798777,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=490,	 t=0.490000023273751,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=500,	 t=0.500000023748726,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=510,	 t=0.5100000242237,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=520,	 t=0.520000024698675,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=530,	 t=0.530000025173649,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=540,	 t=0.540000025648624,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=550,	 t=0.550000026123598,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=560,	 t=0.560000026598573,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=570,	 t=0.570000027073547,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=580,	 t=0.580000027548522,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=590,	 t=0.590000028023496,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=600,	 t=0.600000028498471,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=610,	 t=0.610000028973445,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=620,	 t=0.62000002944842,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=630,	 t=0.630000029923394,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=640,	 t=0.640000030398369,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
plot next snapshot,	 time step=650,	 t=0.650000030873343,	 dt=0.00100000004749745,	 v_max=0.584935163115632,	 dx_min=1.79769313486232e+308
